Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Brecht;995;995;995;995;995;995;995;995;995;995;627;627;627;;627;;627;;627;;627;;627;;627;
Bredene;1775;1775;1775;1775;1775;1775;1775;1775;1775;1775;1118;1118;1295;;1295;;1295;;1295;;1295;;1295;;1295;
Bree;1150;1150;1150;1150;1150;1150;1750;1750;1650;1550;944;944;944;;944;;944;;944;;944;;944;;944;
Brugge;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1007,56;1007,56;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;
Buggenhout;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;819;
Damme;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1134;1134;1134;;1134;;1134;;1134;;1134;;1134;;1134;
De Haan;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;881,61;881,61;881,61;;881,61;;881,61;;881,61;;881,61;;881,61;;881,61;
De Panne;1950;1950;1950;1950;1950;1950;1950;1950;1950;1950;1228;1228;1228;;1228;;1228;;1228;;1228;;1228;;1228;
De Pinte (t/m 2024);950;950;950;950;950;950;950;950;950;950;598;598;875;;875;;875;;875;;787;;;;;
Deerlijk;1550;1550;1550;1550;1550;1550;1700;1700;1700;1700;1071;1071;1071;;1071;;1071;;1071;;1071;;1071;;1071;
Deinze (vanaf 2019);;;;;;;;;;;;693;693;;693;;693;;693;;693;;693;;693;
Deinze  (t/m 2018);1000;1000;1000;1100;1100;1100;1100;1100;1100;1100;693;;;;;;;;;;;;;;;
Denderleeuw;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;818,64;818,64;950;;950;;950;;950;;950;;950;;950;
Dendermonde;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;881,61;881,61;881,61;;881,61;;881,61;;881,61;;881,61;;881,61;;996,22;3 categorieën: 996,22 / 1031,48 / 1119,64
Dentergem;1475;1475;1475;1475;1475;1475;1475;1475;1475;1475;929;929;929;;929;;929;;929;;929;;929;;929;
Dessel;700;700;900;900;900;900;900;900;900;900;567;567;850;;850;;850;;850;;850;;850;;850;
Destelbergen;750;750;750;750;750;1300;1300;1300;1300;1200;750;750;750;;750;;750;;750;;750;;750;;890;
Diepenbeek;1300;1300;1390;1390;1390;1390;1390;1390;1390;1390;875,31;875,31;875,31;;875,31;;875,31;;875,31;;875,31;;875,31;;875,31;
Diest;1560;1560;1560;1560;1560;1560;1560;1560;1560;1560;982;982;982;;982;;982;;982;;982;;982;;982;
Diksmuide;2250;2250;2250;2200;2150;2150;2150;2150;2150;2150;1354;1354;1354;;1354;;1354;;1324;;1295;;1295;;1295;
Dilbeek;920;920;920;920;920;1275;1275;1275;1275;1175;740;740;740;;740;;740;2 categorieën: 740 / 900;740;2 categorieën: 740 / 900;740;2 categorieën: 740 / 900;740;2 categorieën: 740 / 900;790;2 categorieën: 790 / 1100
Dilsen-Stokkem;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;810;810;810;;810;;810;;810;;810;;810;;810;
Drogenbos;1150;1150;1150;1150;1150;1150;1150;1150;1150;1150;724;724;724;;724;;724;;724;;724;;724;;724;
Duffel;850;850;850;850;850;850;1150;1150;1150;1150;724,18;724,18;724,18;;724,18;;724,18;;724,18;;724,18;;724,18;;724,18;
Edegem;775;775;775;775;775;775;995;995;995;995;627;627;627;;627;;627;;627;;627;;627;;627;
Eeklo;1150;1150;1150;1150;1150;1300;1300;1300;1300;1300;818,64;818,64;818,64;;818,64;;818,64;;818,64;;818,64;;818,64;;1100;
Erpe-Mere;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;755,67;755,67;755,67;;755,67;;755,67;;755,67;;755,67;;755,67;;755,67;
Essen;1250;1150;1150;1150;1150;1150;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;787;;875;
Evergem;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;875;
Galmaarden (t/m 2024);1300;1300;1300;1300;1300;1300;1500;1500;1500;1500;944;944;944;;944;;944;;944;;944;;;;;
Gavere;1200;1200;1200;1200;1200;1200;1300;1300;1300;1300;818;818;818;;818;;818;;818;;818;;818;;900;
Geel;1170;1170;1170;1170;1170;1170;1170;1170;1250;1250;787,15;787,15;787,15;;787,15;;800;5 categorieën: 800 / 895 / 940 / 987 / 1037;800;5 categorieën: 800 / 895 / 940 / 987 / 1037;800;5 categorieën: 800 / 895 / 940 / 987 / 1037;800;5 categorieën: 800 / 895 / 940 / 987 / 1037;800;5 categorieën: 800 / 895 / 940 / 987 / 1037
Geetbets;1250;1250;1250;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Genk;1190;1190;1190;1190;1190;1190;1350;1350;1350;1350;850,13;850,13;850,13;;850,13;;850,13;;850,13;;850,13;;850,13;;850,13;
Gent;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;913,1;913,1;913,1;;913,1;;913,1;;1088;;1088;;1088;;1088;
Geraardsbergen;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;881,62;981,62;981,62;;981,62;;981,62;;981,62;;981,62;;981,62;;981,62;
Gingelom;1650;1650;1650;1650;1650;1650;1650;1650;1650;1650;1039;1039;1039;;1039;;1039;;1039;;1039;;1039;;1039;
Gistel;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;1070;3 categorieën: 1070/1000/1070;1070;3 categorieën: 1070 / 1000 / 1070;1070;3 categorieën: 1070 / 1000 / 1070;1070;3 categorieën: 1070 / 1000 / 1070;1070;3 categorieën: 1070 / 1000 / 1070;1070;3 categorieën: 1070 / 1000 / 1070;1100;3 categorieën: 1100 / 1030 / 1100
Glabbeek;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;897;
Gooik (t/m 2024);1100;1100;1100;1100;1100;1250;1250;1250;1250;1250;787;787;895;;895;;895;;895;;895;;;;;
Grimbergen;775;775;775;775;775;775;900;900;900;900;567;567;567;;567;;620;;620;;620;;620;;800;
Grobbendonk;1150;1150;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Haacht;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;850;;850;;850;;850;;850;;850;
Haaltert;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787,15;787,15;940;;940;;940;;940;;940;;940;;940;
Halen;1350;1350;1350;1350;1350;1350;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Halle;1300;1300;1300;1300;1300;1300;1580;1580;1570;1560;976;970;920;;920;;920;;920;;920;;920;;920;2 categorieën: 920 / 1085
Ham (t/m 2024);1250;1250;1250;1250;1250;1250;1350;1350;1350;1300;819;819;819;;819;;819;;819;;819;;;;;
Hamme;1750;1700;1700;1650;1650;1650;1650;1650;1650;1650;1039;1039;1039;;1039;;1039;;1039;;1039;;1039;;1039;
Hamont-Achel;900;900;900;900;900;900;900;995;995;995;627;627;730;;730;;730;;730;;730;;730;;900;
Harelbeke;1550;1550;1550;1550;1550;1550;1800;1800;1800;1800;1134;1134;1350;;1350;;1350;;1350;;1350;;1350;;1350;
Hasselt (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;986,4;;986,4;
Hasselt (t/m 2024);1375;1350;1350;1350;1350;1350;1495;1495;1495;1495;941,44;941,44;986,4;;986,4;;986,4;;986,4;;986,4;;;;;
Hechtel-Eksel;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;693;693;693;;693;;693;;693;;693;;693;;893;
Heers;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1007,56;1007,56;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;;1007,56;
